prime,length,reciprocal
1153,1152,0.0008673026886383347
1163,581,0.0008598452278589854
1171,1170,0.0008539709649871904
1181,1180,0.000846740050804403
1187,593,0.0008424599831508003
1193,1192,0.0008382229673093043
1201,200,0.0008326394671107411
1213,202,0.0008244023083264633
1217,1216,0.0008216926869350862
1223,1222,0.0008176614881439084
1229,1228,0.0008136696501220504
1231,41,0.0008123476848090983
1237,206,0.0008084074373484236
1249,208,0.0008006405124099279
1259,1258,0.0007942811755361397
1277,638,0.0007830853563038371
1279,639,0.0007818608287724785
1283,641,0.000779423226812159
1289,92,0.0007757951900698216
1291,1290,0.000774593338497289
1297,1296,0.0007710100231303007
1301,1300,0.0007686395080707148
1303,1302,0.0007674597083653108
1307,653,0.0007651109410864575
1319,659,0.000758150113722517
1321,55,0.000757002271006813
1327,1326,0.0007535795026375283
1361,680,0.0007347538574577516
1367,1366,0.000731528895391368
1373,686,0.0007283321194464676
1381,1380,0.000724112961622013
1399,699,0.0007147962830593281
1409,32,0.0007097232079489
1423,158,0.0007027406886858749
1427,713,0.000700770847932726
1429,1428,0.0006997900629811056
1433,1432,0.0006978367062107466
1439,719,0.0006949270326615705
1447,1446,0.000691085003455425
1451,290,0.0006891798759476223
1453,726,0.0006882312456985547
1459,162,0.0006854009595613434
1471,735,0.0006798096532970768
1481,740,0.0006752194463200541
1483,247,0.0006743088334457181
1487,1486,0.0006724949562878278
1489,248,0.000671591672263264
1493,373,0.0006697923643670462
1499,214,0.00066711140760507
1511,755,0.0006618133686300463
1523,761,0.0006565988181221273
1531,1530,0.0006531678641410843
1543,1542,0.0006480881399870382
1549,1548,0.0006455777921239509
1553,1552,0.000643915003219575
1559,779,0.0006414368184733803
1567,1566,0.0006381620931716656
1571,1570,0.0006365372374283895
1579,1578,0.0006333122229259025
1583,1582,0.0006317119393556538
1597,133,0.0006261740763932373
1601,200,0.0006246096189881324
1607,1606,0.0006222775357809583
1609,201,0.0006215040397762585
1613,403,0.0006199628022318661
1619,1618,0.0006176652254478073
1621,1620,0.0006169031462060457
1627,271,0.0006146281499692685
1637,409,0.0006108735491753207
1657,552,0.0006035003017501509
1663,1662,0.0006013229104028864
1667,833,0.0005998800239952009
1669,556,0.0005991611743559018
1693,423,0.0005906674542232723
1697,1696,0.0005892751915144372
1699,566,0.0005885815185403178
1709,1708,0.0005851375073142189
1721,430,0.0005810575246949448
1723,287,0.0005803830528148578
1733,866,0.0005770340450086555
1741,1740,0.0005743825387708214
1747,291,0.0005724098454493417
1753,584,0.0005704506560182544
1759,879,0.0005685048322910744
1777,1776,0.0005627462014631402
1783,1782,0.0005608524957936063
1787,893,0.0005595970900951316
1789,1788,0.0005589714924538849
1801,900,0.000555247084952804
1811,1810,0.0005521811154058532
1823,1822,0.0005485463521667581
1831,305,0.0005461496450027307
1847,1846,0.0005414185165132648
1861,1860,0.0005373455131649651
1867,933,0.0005356186395286556
1871,935,0.0005344735435595938
1873,1872,0.0005339028296849973
1877,938,0.0005327650506126798
1879,313,0.0005321979776476849
1889,118,0.0005293806246691371
1901,380,0.0005260389268805891
1907,953,0.0005243838489774515
1913,1912,0.0005227391531625719
1931,386,0.0005178663904712584
1933,21,0.0005173305742369374
1949,1948,0.000513083632632119
1951,195,0.0005125576627370579
1973,986,0.0005068423720223011
1979,1978,0.0005053057099545225
1987,331,0.0005032712632108706
1993,664,0.0005017561465127947
1997,998,0.000500751126690035
1999,999,0.0005002501250625312
2003,1001,0.0004992511233150275
2011,670,0.0004972650422675286
2017,2016,0.0004957858205255329
2027,1013,0.000493339911198816
2029,2028,0.0004928536224741252
2039,1019,0.0004904364884747426
2053,342,0.0004870920603994155
2063,2062,0.0004847309743092584
2069,2068,0.0004833252779120348
2081,1040,0.0004805382027871216
2083,1041,0.00048007681228996637
2087,298,0.0004791566842357451
2089,1044,0.0004786979415988511
2099,2098,0.0004764173415912339
2111,1055,0.0004737091425864519
2113,2112,0.000473260766682442
2129,532,0.0004697040864255519
2131,710,0.0004692632566870014
2137,2136,0.0004679457182966776
2141,2140,0.00046707146193367583
2143,2142,0.0004666355576294914
2153,2152,0.00046446818392940084
2161,30,0.00046274872744099955
2179,2178,0.0004589261128958238
2203,1101,0.00045392646391284613
2207,2206,0.00045310376076121433
2213,553,0.00045187528242205153
2221,2220,0.00045024763619990995
2237,1118,0.0004470272686633885
2239,1119,0.00044662795891022776
2243,1121,0.00044583147570218456
2251,2250,0.000444247001332741
2267,1133,0.0004411116012351125
2269,2268,0.00044072278536800354
2273,2272,0.0004399472063352398
2281,228,0.00043840420868040335
2287,762,0.00043725404459991256
2293,1146,0.0004361098996947231
2297,2296,0.00043535045711797995
2309,2308,0.00043308791684711995
2311,231,0.00043271311120726956
2333,583,0.0004286326618088298
2339,2338,0.00042753313381787086
2341,2340,0.00042716787697565144
2347,1173,0.00042607584149978694
2351,1175,0.0004253509145044662
2357,1178,0.00042426813746287653
2371,2370,0.00042176296921130323
2377,264,0.00042069835927639884
2381,476,0.00041999160016799666
2383,2382,0.000419639110365086
2389,2388,0.0004185851820845542
2393,184,0.0004178854993731718
2399,1199,0.00041684035014589413
2411,2410,0.00041476565740356696
2417,2416,0.0004137360364087712
2423,2422,0.0004127115146512588
2437,1218,0.0004103405826836274
2441,305,0.00040966816878328555
2447,2446,0.0004086636697997548
2459,2458,0.00040666937779585197
2467,137,0.00040535062829347385
2473,2472,0.0004043671653861706
2477,619,0.0004037141703673799
2503,278,0.00039952057530962844
2521,630,0.0003966679888932963
2531,46,0.0003951007506914263
2539,2538,0.00039385584875935406
2543,2542,0.00039323633503735744
2549,2548,0.00039231071008238524
2551,425,0.0003920031360250882
2557,639,0.00039108330074305825
2579,2578,0.00038774718883288094
2591,259,0.00038595137012736397
2593,2592,0.0003856536829926726
2609,1304,0.0003832886163280951
2617,2616,0.00038211692777990065
2621,2620,0.00038153376573826786
2633,2632,0.00037979491074819596
2647,882,0.00037778617302606723
2657,2656,0.0003763643206624012
2659,886,0.000376081233546446
2663,2662,0.0003755163349605708
2671,1335,0.00037439161362785476
2677,223,0.00037355248412401944
2683,447,0.0003727171077152441
2687,2686,0.0003721622627465575
2689,42,0.0003718854592785422
2693,1346,0.0003713330857779428
2699,2698,0.0003705075954057058
2707,1353,0.0003694126339120798
2711,1355,0.00036886757654002215
2713,2712,0.00036859565057132326
2719,1359,0.0003677822728944465
2729,682,0.00036643459142543056
2731,2730,0.0003661662394727206
2741,2740,0.00036483035388544326
2749,916,0.0003637686431429611
2753,2752,0.0003632401017072285
2767,2766,0.0003614022406938923
2777,2776,0.00036010082823190496
2789,2788,0.00035855145213338117
2791,31,0.00035829451809387314
2797,699,0.0003575259206292456
2801,1400,0.0003570153516601214
2803,1401,0.00035676061362825543
2819,2818,0.000354735721887194
2833,2832,0.00035298270384751147
2837,709,0.00035248501938667606
2843,1421,0.00035174111853675694
2851,2850,0.00035075412136092597
2857,408,0.00035001750087504374
2861,2860,0.0003495281370150297
2879,1439,0.0003473428273706148
2887,2886,0.00034638032559750607
2897,2896,0.00034518467380048324
2903,2902,0.0003444712366517396
2909,2908,0.00034376074252320387
2917,1458,0.00034281796366129587
2927,2926,0.00034164673727365904
2939,2938,0.0003402517863218782
2953,984,0.0003386386725364037
2957,1478,0.00033818058843422386
2963,1481,0.0003374957813027337
2969,371,0.0003368137420006736
2971,2970,0.0003365870077415012
2999,1499,0.00033344448149383126
3001,1500,0.0003332222592469177
3011,3010,0.00033211557622052476
3019,3018,0.0003312355084465055
3023,3022,0.0003307972213033411
3037,253,0.00032927230819888045
3041,380,0.0003288391976323578
3049,508,0.00032797638570022957
3061,204,0.0003266906239790918
3067,1533,0.00032605151613955004
3079,1539,0.0003247807729782397
3083,1541,0.0003243593902043464
3089,1544,0.0003237293622531564
3109,148,0.000321646831778707
3119,1559,0.0003206155819172812
3121,156,0.0003204101249599487
3137,3136,0.000318775900541919
3163,1581,0.0003161555485298767
3167,3166,0.00031575623618566466
3169,72,0.0003155569580309246
3181,636,0.00031436655139893113
3187,177,0.00031377470975839345
3191,29,0.00031338138514572234
3203,1601,0.00031220730565095225
3209,1604,0.0003116235587410408
3217,1072,0.00031084861672365556
